縣市別,性別,年齡,婚姻狀況,教育程度,人口數
宜蘭縣,女,50~59,非未婚,高中及以下,21733
宜蘭縣,女,60~69,未婚,大學及專科,459
宜蘭縣,女,60~69,未婚,碩士以上,55
宜蘭縣,女,60~69,未婚,高中及以下,1065
宜蘭縣,女,60~69,非未婚,大學及專科,3369
宜蘭縣,女,60~69,非未婚,碩士以上,315
宜蘭縣,女,60~69,非未婚,高中及以下,20158
宜蘭縣,男,15~19,未婚,大學及專科,0
宜蘭縣,男,15~19,未婚,碩士以上,0
宜蘭縣,男,15~19,未婚,高中及以下,9412
宜蘭縣,男,15~19,非未婚,大學及專科,0
宜蘭縣,男,15~19,非未婚,碩士以上,0
宜蘭縣,男,15~19,非未婚,高中及以下,17
宜蘭縣,男,20~29,未婚,大學及專科,11786
宜蘭縣,男,20~29,未婚,碩士以上,1417
宜蘭縣,男,20~29,未婚,高中及以下,14026
宜蘭縣,男,20~29,非未婚,大學及專科,842
宜蘭縣,男,20~29,非未婚,碩士以上,67
宜蘭縣,男,20~29,非未婚,高中及以下,2054
宜蘭縣,男,30~39,未婚,大學及專科,9176
宜蘭縣,男,30~39,未婚,碩士以上,2015
宜蘭縣,男,30~39,未婚,高中及以下,6552
宜蘭縣,男,30~39,非未婚,大學及專科,6618
宜蘭縣,男,30~39,非未婚,碩士以上,1400
宜蘭縣,男,30~39,非未婚,高中及以下,5870
宜蘭縣,男,40~49,未婚,大學及專科,3740
宜蘭縣,男,40~49,未婚,碩士以上,697
宜蘭縣,男,40~49,未婚,高中及以下,5590
宜蘭縣,男,40~49,非未婚,大學及專科,9119
宜蘭縣,男,40~49,非未婚,碩士以上,2528
宜蘭縣,男,40~49,非未婚,高中及以下,12216
宜蘭縣,男,50~59,未婚,大學及專科,1059
宜蘭縣,男,50~59,未婚,碩士以上,188
宜蘭縣,男,50~59,未婚,高中及以下,3277
宜蘭縣,男,50~59,非未婚,大學及專科,8462
宜蘭縣,男,50~59,非未婚,碩士以上,2116
宜蘭縣,男,50~59,非未婚,高中及以下,19678
宜蘭縣,男,60~69,未婚,大學及專科,281
宜蘭縣,男,60~69,未婚,碩士以上,42
宜蘭縣,男,60~69,未婚,高中及以下,1442
宜蘭縣,男,60~69,非未婚,大學及專科,5630
宜蘭縣,男,60~69,非未婚,碩士以上,875
宜蘭縣,男,60~69,非未婚,高中及以下,20523
屏東縣,女,15~19,未婚,大學及專科,0
屏東縣,女,15~19,未婚,碩士以上,0
屏東縣,女,15~19,未婚,高中及以下,14549
屏東縣,女,15~19,非未婚,大學及專科,0
屏東縣,女,15~19,非未婚,碩士以上,0
屏東縣,女,15~19,非未婚,高中及以下,88
屏東縣,女,20~29,未婚,大學及專科,23133
屏東縣,女,20~29,未婚,碩士以上,1275
屏東縣,女,20~29,未婚,高中及以下,16333
屏東縣,女,20~29,非未婚,大學及專科,3075
屏東縣,女,20~29,非未婚,碩士以上,84
屏東縣,女,20~29,非未婚,高中及以下,4746
屏東縣,女,30~39,未婚,大學及專科,14742
屏東縣,女,30~39,未婚,碩士以上,2056
屏東縣,女,30~39,未婚,高中及以下,5561
屏東縣,女,30~39,非未婚,大學及專科,13616
屏東縣,女,30~39,非未婚,碩士以上,1211
屏東縣,女,30~39,非未婚,高中及以下,10941
屏東縣,女,40~49,未婚,大學及專科,7331
屏東縣,女,40~49,未婚,碩士以上,1270
屏東縣,女,40~49,未婚,高中及以下,4820
屏東縣,女,40~49,非未婚,大學及專科,16677
屏東縣,女,40~49,非未婚,碩士以上,2110
屏東縣,女,40~49,非未婚,高中及以下,25838
屏東縣,女,50~59,未婚,大學及專科,2735
屏東縣,女,50~59,未婚,碩士以上,658
屏東縣,女,50~59,未婚,高中及以下,3468
屏東縣,女,50~59,非未婚,大學及專科,10898
屏東縣,女,50~59,非未婚,碩士以上,1866
屏東縣,女,50~59,非未婚,高中及以下,38671
屏東縣,女,60~69,未婚,大學及專科,785
屏東縣,女,60~69,未婚,碩士以上,154
屏東縣,女,60~69,未婚,高中及以下,1658
屏東縣,女,60~69,非未婚,大學及專科,5604
屏東縣,女,60~69,非未婚,碩士以上,559
屏東縣,女,60~69,非未婚,高中及以下,34949
屏東縣,男,15~19,未婚,大學及專科,0
屏東縣,男,15~19,未婚,碩士以上,0
屏東縣,男,15~19,未婚,高中及以下,16072
屏東縣,男,15~19,非未婚,大學及專科,0
屏東縣,男,15~19,非未婚,碩士以上,0
屏東縣,男,15~19,非未婚,高中及以下,30
屏東縣,男,20~29,未婚,大學及專科,19155
屏東縣,男,20~29,未婚,碩士以上,1677
屏東縣,男,20~29,未婚,高中及以下,27078
屏東縣,男,20~29,非未婚,大學及專科,1502
屏東縣,男,20~29,非未婚,碩士以上,71
屏東縣,男,20~29,非未婚,高中及以下,4274
屏東縣,男,30~39,未婚,大學及專科,15005
